Year,Country,GDP (current US$),GDP (current US$)_Source,GNI per capita,GNI per capita_Source,Industry (% of GDP),Industry (% of GDP)_Source,Manufacturing (% of GDP),Manufacturing (% of GDP)_Source,Foreign direct investment (% of GDP),Foreign direct investment (% of GDP)_Source,"Population, total","Population, total_Source",Urban population (% of total),Urban population (% of total)_Source,Population growth (annual %),Population growth (annual %)_Source,Energy use (kg of oil equivalent per capita),Energy use (kg of oil equivalent per capita)_Source,Electric power consumption (kWh per capita),Electric power consumption (kWh per capita)_Source,Access to electricity (% of population),Access to electricity (% of population)_Source,Fossil fuel energy consumption (% of total),Fossil fuel energy consumption (% of total)_Source,Individuals using the Internet (% of population),Individuals using the Internet (% of population)_Source,Mobile cellular subscriptions (per 100 people),Mobile cellular subscriptions (per 100 people)_Source,PM2.5 air pollution (micrograms per cubic meter),PM2.5 air pollution (micrograms per cubic meter)_Source,CO2 emissions (metric tons per capita),CO2 emissions (metric tons per capita)_Source,Total greenhouse gas emissions (per capita),Total greenhouse gas emissions (per capita)_Source,Demand (TWh),Demand (TWh)_Source,JanEraMean,JanEraMean_Source,FebEraMean,FebEraMean_Source,MarEraMean,MarEraMean_Source,AprEraMean,AprEraMean_Source,MayEraMean,MayEraMean_Source,JunEraMean,JunEraMean_Source,JulEraMean,JulEraMean_Source,AugEraMean,AugEraMean_Source,SepEraMean,SepEraMean_Source,OctEraMean,OctEraMean_Source,NovEraMean,NovEraMean_Source,DecEraMean,DecEraMean_Source,GDP (current US$)_Prophet,GDP (current US$)_Lower_CI,GDP (current US$)_Upper_CI,GNI per capita_Prophet,GNI per capita_Lower_CI,GNI per capita_Upper_CI,Industry (% of GDP)_Prophet,Industry (% of GDP)_Lower_CI,Industry (% of GDP)_Upper_CI,Manufacturing (% of GDP)_Prophet,Manufacturing (% of GDP)_Lower_CI,Manufacturing (% of GDP)_Upper_CI,Foreign direct investment (% of GDP)_Prophet,Foreign direct investment (% of GDP)_Lower_CI,Foreign direct investment (% of GDP)_Upper_CI,Population growth (annual %)_Prophet,Population growth (annual %)_Lower_CI,Population growth (annual %)_Upper_CI,Energy use (kg of oil equivalent per capita)_Prophet,Energy use (kg of oil equivalent per capita)_Lower_CI,Energy use (kg of oil equivalent per capita)_Upper_CI,Electric power consumption (kWh per capita)_Prophet,Electric power consumption (kWh per capita)_Lower_CI,Electric power consumption (kWh per capita)_Upper_CI,Access to electricity (% of population)_Prophet,Access to electricity (% of population)_Lower_CI,Access to electricity (% of population)_Upper_CI,Fossil fuel energy consumption (% of total)_Prophet,Fossil fuel energy consumption (% of total)_Lower_CI,Fossil fuel energy consumption (% of total)_Upper_CI,PM2.5 air pollution (micrograms per cubic meter)_Prophet,PM2.5 air pollution (micrograms per cubic meter)_Lower_CI,PM2.5 air pollution (micrograms per cubic meter)_Upper_CI,CO2 emissions (metric tons per capita)_Prophet,CO2 emissions (metric tons per capita)_Lower_CI,CO2 emissions (metric tons per capita)_Upper_CI,Total greenhouse gas emissions (per capita)_Prophet,Total greenhouse gas emissions (per capita)_Lower_CI,Total greenhouse gas emissions (per capita)_Upper_CI,Demand (TWh)_Prophet,Demand (TWh)_Lower_CI,Demand (TWh)_Upper_CI,JanEraMean_Prophet,JanEraMean_Lower_CI,JanEraMean_Upper_CI,FebEraMean_Prophet,FebEraMean_Lower_CI,FebEraMean_Upper_CI,MarEraMean_Prophet,MarEraMean_Lower_CI,MarEraMean_Upper_CI,AprEraMean_Prophet,AprEraMean_Lower_CI,AprEraMean_Upper_CI,MayEraMean_Prophet,MayEraMean_Lower_CI,MayEraMean_Upper_CI,JunEraMean_Prophet,JunEraMean_Lower_CI,JunEraMean_Upper_CI,JulEraMean_Prophet,JulEraMean_Lower_CI,JulEraMean_Upper_CI,AugEraMean_Prophet,AugEraMean_Lower_CI,AugEraMean_Upper_CI,SepEraMean_Prophet,SepEraMean_Lower_CI,SepEraMean_Upper_CI,OctEraMean_Prophet,OctEraMean_Lower_CI,OctEraMean_Upper_CI,NovEraMean_Prophet,NovEraMean_Lower_CI,NovEraMean_Upper_CI,DecEraMean_Prophet,DecEraMean_Lower_CI,DecEraMean_Upper_CI
2010,Thailand,341000000000.0,Historical,4490.0,Historical,39.92173,Historical,30.93048,Historical,4.32321,Historical,68600000.0,Historical,43.856,Historical,0.67062,Historical,1718.30046,Historical,2261.21683,Historical,99.7,Historical,79.99306,Historical,22.4,Historical,105.06194,Historical,33.46905,Historical,3.59122,Historical,5.95777,Historical,163.51,Historical,24.61,Historical,26.53,Historical,27.88,Historical,29.98,Historical,29.72,Historical,28.63,Historical,27.65,Historical,26.78,Historical,26.96,Historical,25.95,Historical,24.71,Historical,23.86,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,Thailand,371000000000.0,Historical,4840.0,Historical,37.9814,Historical,28.99588,Historical,0.66709,Historical,69000000.0,Historical,44.698,Historical,0.62181,Historical,1705.6303,Historical,2234.47672,Historical,99.3,Historical,80.19389,Historical,23.6699,Historical,112.714,Historical,29.0592,Historical,3.57427,Historical,5.91525,Historical,162.74,Historical,22.63,Historical,25.23,Historical,24.87,Historical,27.4,Historical,27.52,Historical,27.38,Historical,27.02,Historical,26.67,Historical,26.5,Historical,25.97,Historical,25.17,Historical,22.72,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,Thailand,398000000000.0,Historical,5400.0,Historical,37.34369,Historical,27.97279,Historical,3.24456,Historical,69400000.0,Historical,45.445,Historical,0.61959,Historical,1817.44693,Historical,2387.30293,Historical,99.1,Historical,80.16214,Historical,26.46,Historical,122.92605,Historical,31.58863,Historical,3.81253,Historical,6.14635,Historical,177.58,Historical,24.17,Historical,25.89,Historical,27.27,Historical,28.4,Historical,27.91,Historical,27.5,Historical,26.92,Historical,26.81,Historical,26.71,Historical,26.7,Historical,26.56,Historical,25.08,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,Thailand,420000000000.0,Historical,5580.0,Historical,36.89859,Historical,27.58869,Historical,3.79126,Historical,69800000.0,Historical,46.193,Historical,0.58733,Historical,1943.1016,Historical,2453.52882,Historical,99.4,Historical,80.667,Historical,28.94,Historical,134.88199,Historical,34.48835,Historical,3.95086,Historical,6.26323,Historical,179.93,Historical,23.9,Historical,26.53,Historical,27.82,Historical,29.19,Historical,28.67,Historical,27.62,Historical,26.88,Historical,26.81,Historical,26.5,Historical,25.9,Historical,25.56,Historical,21.11,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,Thailand,407000000000.0,Historical,5620.0,Historical,36.76304,Historical,27.5735,Historical,1.22145,Historical,70200000.0,Historical,46.943,Historical,0.53013,Historical,1919.15336,Historical,2474.52278,Historical,99.5,Historical,79.83902,Historical,34.8861,Historical,138.78601,Historical,29.97054,Historical,3.87839,Historical,6.0719,Historical,183.95,Historical,21.57,Historical,25.02,Historical,27.85,Historical,28.71,Historical,28.82,Historical,28.06,Historical,27.35,Historical,26.92,Historical,26.95,Historical,26.36,Historical,25.83,Historical,23.56,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,Thailand,401000000000.0,Historical,5560.0,Historical,36.17918,Historical,27.37407,Historical,2.22469,Historical,70500000.0,Historical,47.694,Historical,0.46098,Historical,,Historical,,Historical,99.6,Historical,,Historical,39.3161,Historical,146.4441,Historical,28.15444,Historical,3.96561,Historical,6.06923,Historical,189.98,Historical,22.53,Historical,24.89,Historical,27.89,Historical,28.56,Historical,29.27,Historical,28.59,Historical,27.59,Historical,27.36,Historical,27.22,Historical,26.48,Historical,26.5,Historical,24.89,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,Thailand,413000000000.0,Historical,5550.0,Historical,35.58677,Historical,27.14424,Historical,0.84336,Historical,70900000.0,Historical,48.448,Historical,0.45127,Historical,,Historical,,Historical,99.9,Historical,,Historical,47.505,Historical,169.48594,Historical,30.3986,Historical,3.89512,Historical,6.07452,Historical,198.21,Historical,23.87,Historical,24.26,Historical,28.32,Historical,30.92,Historical,29.66,Historical,27.95,Historical,27.21,Historical,27.4,Historical,26.95,Historical,26.86,Historical,25.97,Historical,24.16,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,Thailand,456000000000.0,Historical,5800.0,Historical,35.01876,Historical,27.01482,Historical,1.8155,Historical,71200000.0,Historical,49.2,Historical,0.42296,Historical,,Historical,,Historical,99.9,Historical,,Historical,52.8919,Historical,171.41478,Historical,27.10067,Historical,3.89178,Historical,6.09058,Historical,200.05,Historical,24.52,Historical,24.99,Historical,27.54,Historical,28.34,Historical,28.0,Historical,27.81,Historical,26.88,Historical,27.33,Historical,27.4,Historical,26.51,Historical,25.52,Historical,23.31,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,Thailand,507000000000.0,Historical,6430.0,Historical,34.74249,Historical,26.71283,Historical,2.7128,Historical,71400000.0,Historical,49.949,Historical,0.30293,Historical,,Historical,,Historical,99.8,Historical,,Historical,56.8175,Historical,175.87778,Historical,30.0081,Historical,3.84703,Historical,6.03558,Historical,203.34,Historical,24.18,Historical,24.65,Historical,26.95,Historical,27.64,Historical,27.74,Historical,27.55,Historical,27.08,Historical,26.78,Historical,27.13,Historical,26.84,Historical,25.89,Historical,25.12,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Thailand,544000000000.0,Historical,7060.0,Historical,33.59391,Historical,25.6216,Historical,1.01735,Historical,71500000.0,Historical,50.692,Historical,0.20461,Historical,,Historical,,Historical,99.9,Historical,,Historical,66.6524,Historical,181.76703,Historical,30.38276,Historical,3.97694,Historical,6.10404,Historical,209.17,Historical,24.6,Historical,26.79,Historical,28.33,Historical,30.08,Historical,29.16,Historical,28.52,Historical,27.9,Historical,27.03,Historical,26.92,Historical,27.07,Historical,25.58,Historical,23.36,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,Thailand,500000000000.0,Historical,6900.0,Historical,33.29072,Historical,25.55533,Historical,-0.85799,Historical,71600000.0,Historical,51.43,Historical,0.16654,Historical,,Historical,,Historical,100.0,Historical,,Historical,77.8437,Historical,162.70433,Historical,31.0072,Historical,3.83073,Historical,6.05405,Historical,203.41,Historical,25.15,Historical,25.86,Historical,28.62,Historical,29.12,Historical,29.74,Historical,28.25,Historical,28.1,Historical,27.26,Historical,27.39,Historical,25.58,Historical,25.57,Historical,23.53,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,Thailand,506000000000.0,Historical,7090.0,Historical,35.04965,Historical,27.1676,Historical,3.03988,Historical,71700000.0,Historical,52.163,Historical,0.11976,Historical,,Historical,,Historical,100.0,Historical,,Historical,85.2696,Historical,168.78232,Historical,,Historical,3.72928,Historical,5.98744,Historical,207.75,Historical,22.64,Historical,25.12,Historical,28.18,Historical,27.73,Historical,28.78,Historical,28.09,Historical,27.51,Historical,27.57,Historical,26.68,Historical,26.46,Historical,25.73,Historical,23.22,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022,Thailand,496000000000.0,Historical,7230.0,Historical,35.15209,Historical,27.05149,Historical,2.3918,Historical,71700000.0,Historical,52.889,Historical,0.01115,Historical,,Historical,,Historical,99.9,Historical,,Historical,87.9772,Historical,176.31693,Historical,,Historical,3.84565,Historical,6.1684,Historical,213.78,Historical,24.37,Historical,24.85,Historical,27.83,Historical,27.8,Historical,27.27,Historical,27.97,Historical,27.57,Historical,27.08,Historical,26.62,Historical,25.89,Historical,25.92,Historical,23.4,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,Thailand,515000000000.0,Historical,7200.0,Historical,32.88654,Historical,24.91145,Historical,1.26533,Historical,71700000.0,Historical,53.608,Historical,-0.04587,Historical,,Historical,,Historical,,Historical,,Historical,89.5352,Historical,,Historical,,Historical,3.82358,Historical,6.14739,Historical,224.04,Historical,22.94,Historical,25.52,Historical,27.47,Historical,30.17,Historical,29.53,Historical,28.32,Historical,28.08,Historical,27.69,Historical,27.05,Historical,26.98,Historical,25.84,Historical,25.05,Historical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024,Thailand,526311221883.5084,VAR_Forecast,7247.0946061236,VAR_Forecast,33.27436998865987,VAR_Forecast,25.789010001638943,VAR_Forecast,2.1401916179755176,VAR_Forecast,71958817.87421262,VAR_Forecast,53.46578178887172,VAR_Forecast,-0.0014225238609492,VAR_Forecast,1964.1788736066987,VAR_Forecast,2513.399821755951,VAR_Forecast,100.0,VAR_Forecast,79.95066151430274,VAR_Forecast,90.26161957677496,VAR_Forecast,176.40397626960907,VAR_Forecast,29.510651978196563,VAR_Forecast,3.92070135689779,VAR_Forecast,6.178836243829455,VAR_Forecast,220.54104478015853,VAR_Forecast,25.56804424419492,VAR_Forecast,24.99438202349378,VAR_Forecast,28.850448630559796,VAR_Forecast,28.98773618119029,VAR_Forecast,28.81705004582984,VAR_Forecast,28.373259923242397,VAR_Forecast,27.80013803595803,VAR_Forecast,27.54876514305699,VAR_Forecast,27.244947525963585,VAR_Forecast,25.91667981882976,VAR_Forecast,26.15372326767111,VAR_Forecast,22.985858423469512,VAR_Forecast,573510906458.3807,543925395565.9317,602302174021.739,8089.742758680991,7800.639215805319,8372.611914345593,32.1013548362788,31.10973869658137,33.06319160897188,25.58634475887811,24.24343795598248,27.03975980180082,0.0979475664973179,-1.0530003685299534,1.2450788532412134,-0.0425737489503533,-0.1017596933505955,0.0139808014184947,1960.126748196186,1912.1135610752767,2008.3055594859104,2491.887513734342,2456.752087810085,2526.7291746783767,99.9,99.9,100.0,79.85456327086968,79.59838409566395,80.11245376028607,31.44478024767171,29.67711534124552,33.205312854303735,3.794406407372799,3.7275441287940527,3.863908026995474,6.253002426661768,6.175873301472987,6.323754101884378,228.72779755477168,224.1462981383648,233.008968214494,24.732635292879884,23.562152980583612,25.812681436020696,24.20124728441627,23.32262988264493,25.125538287908437,28.63141324578189,27.764748649834832,29.489099317065293,29.260417643689397,28.106198573526463,30.36934699195986,29.33427739575656,28.38879942393239,30.23967238533619,27.34231143508569,26.92048669403377,27.70723623742636,27.621844410456408,27.335323420795383,27.93565733886869,27.560606526348707,27.27973196880676,27.877360906359648,27.25659580130029,26.620302581619303,27.82089516485008,26.51549933108684,26.04775084655609,27.014872514108877,26.054279651400066,25.211788582597816,26.840264200563286,23.24680639081564,22.15618419359495,24.471861170153375
